   pgc   |      name      |      j2000      |     ra      |     dec      | modulus |  error   | method |   Dist   |  Vh  |   VLG    
---------+----------------+-----------------+-------------+--------------+---------+----------+--------+----------+------+----------
     143 | WLM            | 000158.1-152740 |     0.49206 |   -15.461111 |   24.96 |     0.07 | TRGB   | 0.981748 | -122 | -15.9233
 5056918 | And XVIII      | 000214.5+450520 |      0.5604 |    45.088888 |   25.58 |     0.05 | TRGB   |  1.30617 | -332 | -43.9172
    1014 | NGC0055        | 001508.5-391313 |    3.785415 |   -39.220277 |   26.62 |     0.03 | TRGB   |  2.10863 |  129 |  111.376
    1038 | ESO410-005     | 001531.4-321048 |     3.88083 |   -32.179999 |   26.43 |     0.03 | TRGB   |  1.93197 |   36 |  53.1814
 3097691 | Cetus          | 002611.0-110240 |     6.54582 |   -11.044444 |   24.48 |      0.1 | TRGB   | 0.787046 |  -87 |  25.9618
    1641 | ESO294-010     | 002633.3-415120 |    6.638745 |   -41.855555 |   26.54 |     0.03 | TRGB   |  2.03236 |  107 |  70.8317
    2557 | MESSIER031     | 004244.5+411609 |   10.685415 |    41.269166 |   24.44 |      0.1 | Cep    | 0.772681 | -296 | -29.4806
    3238 | NGC0300        | 005453.5-374057 |   13.722915 |   -37.682499 |    26.6 |     0.06 | TRGB   |   2.0893 |  146 |  115.733
    3844 | IC1613         | 010447.8+020760 | 16.19916666 |     2.133332 |   24.39 |     0.05 | TRGB   | 0.755092 | -232 | -88.7013
    4126 | NGC0404        | 010926.9+354303 |    17.36208 |    35.717499 |   27.37 |     0.02 | TRGB   |  2.97852 |  -50 |  192.748
    6830 | Phoenix        | 015106.3-442641 |    27.77625 |   -44.444721 |    23.2 |     0.04 | TRGB   | 0.436516 |  -13 | -105.644
    9140 | [KK2000] 03    | 022442.7-733046 |   36.177915 |   -73.512777 |    26.5 |     0.09 | TRGB   |  1.99526 |  316 |  112.411
 5067061 | Perseus I      | 030123.6+405918 |    45.34833 |    40.988333 |   24.49 |     0.18 | TRGB   | 0.790679 | -326 | -145.092
 5074553 | Eridanus 2     | 034421.1-433159 |    56.08791 |   -43.533056 |    22.8 |      0.1 | HB     | 0.363078 |   76 |  -86.876
   14241 | UGCA086        | 035949.5+670731 |   59.956245 |    67.125277 |   27.37 |     0.03 | TRGB   |  2.97852 |   72 |  280.139
   15488 | NGC1560        | 043249.9+715252 |    68.20791 |     71.88111 |   27.38 |     0.14 | TRGB   |  2.99226 |  -36 |  170.479
   23344 | ESO006-001     | 081923.3-850844 |   124.84707 |   -85.145555 |  27.157 |    0.087 | TRGB   |  2.70022 |  319 |  69.8384
   26142 | UGC04879       | 091602.2+525024 |  139.009155 |    52.839999 |   25.68 |     0.03 | TRGB   |  1.36773 |  -25 |  32.6624
 4713564 | LeoT           | 093453.4+170305 |  143.722485 |    17.051388 |    23.1 |      0.1 | TRGB   | 0.416869 |   39 | -96.9691
 5098252 | Antlia B       | 094856.1-255924 |  147.233745 |       -25.99 |   25.56 |     0.16 | TRGB   |   1.2942 |  376 |  82.1639
   28868 | LeoA           | 095926.4+304447 |   149.85999 |    30.746388 |   24.35 |     0.31 | TRGB   |  0.74131 |   24 | -39.7628
   28913 | SexB           | 100000.1+051956 |  150.000405 |     5.332221 |   25.78 |     0.03 | TRGB   |  1.43219 |  300 |  110.399
   29128 | NGC3109        | 100307.2-260936 |      150.78 |       -26.16 |   25.63 |     0.09 | TRGB   |   1.3366 |  403 |  109.573
   29194 | Antlia         | 100404.0-271955 |  151.016655 |   -27.331943 |   25.68 |      0.1 | TRGB   |  1.36773 |  362 |  66.4461
   29653 | SexA           | 101100.8-044134 |  152.753325 |    -4.692777 |    25.8 |     0.08 | TRGB   |  1.44544 |  324 |   94.032
 5065058 | LeoP           | 102145.1+180517 | 155.4379167 |  18.08805556 |   26.19 |     0.33 | TRGB   |  1.72982 |  262 |  134.656
   37050 | DDO099         | 115053.0+385250 |  177.720825 |    38.880554 |   27.12 |     0.08 | TRGB   |  2.65461 |  251 |  257.199
   38881 | NGC4163        | 121208.9+361010 |   183.03708 |    36.169443 |   27.38 |     0.02 | TRGB   |  2.99226 |  162 |  163.207
   39023 | NGC4190        | 121344.6+363760 |   183.43581 |    36.633332 |   27.26 |     0.06 | TRGB   |  2.83139 |  235 |  239.265
   39145 | KDG090         | 121457.9+361308 |   183.74124 |    36.218888 |   27.37 |     0.08 | TRGB   |  2.97852 |      |         
   39225 | NGC4214        | 121538.9+361939 |  183.912075 |    36.327499 |    27.3 |     0.07 | TRGB   |  2.88403 |  291 |   294.62
   39573 | IC3104         | 121846.1-794334 |  184.692075 |    -79.72611 |   26.86 |     0.02 | TRGB   |  2.35505 |  429 |  170.216
 5059199 | PGC5059199     | 122409.9+261352 |   186.04125 |  26.23111111 |   27.16 |          | NAM    |  2.70396 |  288 |  245.846
   40904 | DDO125         | 122741.8+432938 |  186.924165 |    43.493888 |   27.08 |     0.05 | TRGB   |  2.60615 |  206 |  250.835
   44491 | GR8            | 125840.4+141303 |   194.66832 |    14.217499 |    26.7 |     0.11 | TRGB   |  2.18776 |  217 |  139.356
 2815820 | [KK2000] 53    | 131114.2-385422 |  197.809155 |   -38.906111 |   27.33 |     0.07 | TRGB   |  2.92415 |      |         
 5912201 | dw1322-39      | 132232.0-395420 |   200.63334 |   -39.905556 |   27.35 |    0.035 | TRGB   |  2.95121 |  656 |  413.505
 5912206 | dw1329-45      | 132910.0-451031 |  202.291665 |   -45.175278 |   27.31 |     0.09 | TRGB   |  2.89734 |      |         
   47495 | UGC08508       | 133044.4+545436 |  202.684995 |        54.91 |   27.13 |     0.08 | TRGB   |  2.66686 |   56 |  180.652
 5912214 | dw1342-43      | 134244.0-431519 |   205.68333 |   -43.255278 |   27.31 |    0.115 | TRGB   |  2.89734 |  510 |  273.616
 5807011 | HIZOA J1353-58 | 135321.9-580317 |  208.341255 |   -58.054722 |  26.611 |          | BTF    |  2.09991 |  224 | -25.0872
 2807150 | KKH86          | 135433.6+041435 |  208.639995 |     4.243055 |   27.08 |     0.26 | TRGB   |  2.60615 |  287 |  208.737
  166185 | KK230          | 140710.7+350337 |   211.79457 |    35.060277 |   26.72 |     0.22 | TRGB   |    2.208 |   63 |  127.342
   50961 | DDO187         | 141556.5+230319 |   213.98541 |    23.055277 |   26.81 |     0.04 | TRGB   |  2.30144 |  160 |  179.639
   51472 | DDO190         | 142443.5+443133 |  216.181245 |    44.525832 |   27.26 |     0.03 | TRGB   |  2.83139 |  150 |  263.442
   54392 | ESO274-001     | 151413.5-464845 |  228.556245 |     -46.8125 |   27.23 |     0.08 | TRGB   |  2.79254 |  524 |  337.138
 2801026 | KKR25          | 161347.6+542216 |   243.44832 |     54.37111 |    26.4 |     0.07 | TRGB   |  1.90546 |  -79 |  127.915
 5064336 | Milky Way      | 174540.0-290028 | 266.4168333 | -29.00780556 | 14.4991 | 0.111929 | geom   |  0.00794 |    0 | -64.9742
   60849 | IC4662         | 174706.3-643825 |  266.776245 |   -64.640277 |   27.03 |     0.02 | TRGB   |  2.54683 |  302 |  139.025
   63287 | Sag dIr        | 192959.0-174041 |  292.495815 |   -17.678054 |   25.17 |     0.08 | TRGB   |  1.08143 |  -79 |   20.961
   63616 | NGC6822        | 194457.7-144811 |    296.2404 |   -14.803055 |   23.58 |     0.07 | TRGB   | 0.519996 |  -57 |  63.6587
   65367 | DDO210         | 204651.8-125053 |   311.71581 |   -12.848055 |   24.95 |     0.14 | TRGB   | 0.977238 | -140 |   10.828
   67908 | IC5152         | 220241.9-511743 |  330.674565 |   -51.295277 |   26.46 |     0.04 | TRGB   |  1.95884 |  122 |  72.9577
 5060429 | And XXVIII     | 223241.2+311258 |   338.17167 |    31.216111 | 24.0646 |      0.5 | TRGB   |     0.65 | -331 | -32.3537
   69468 | KK258          | 224043.9-304759 |    340.1829 |   -30.799721 |   26.75 |     0.03 | TRGB   |  2.23872 |   92 |  149.848
   69519 | Tucana         | 224149.0-642512 |   340.45416 |   -64.419999 |   24.82 |     0.03 | TRGB   | 0.920449 |  194 |   72.717
   71431 | UGCA438        | 232627.5-322326 |  351.614565 |   -32.390555 |   26.73 |     0.08 | TRGB   |   2.2182 |   62 |  98.7561
   71538 | Pegasus        | 232834.1+144448 |   352.14207 |    14.746666 |   24.93 |     0.07 | TRGB   | 0.968278 | -184 |  60.0334
 2807157 | KKH98          | 234534.0+384304 |   356.39166 |    38.717777 |   27.06 |     0.09 | TRGB   |  2.58226 | -132 |  156.201
