   pgc   |        name        |      j2000      |        ra        |     dec      | modulus |  error   |    method     |   Dist    |  Vh  |   VLG    
---------+--------------------+-----------------+------------------+--------------+---------+----------+---------------+-----------+------+----------
      35 | UGC12894           | 000022.5+392944 |          0.09375 |    39.495555 | 29.6394 |          | TF            |      8.47 |  335 |  618.577
      83 | PGC000083          | 000106.5+322241 |       0.27708333 |  32.37805556 |   29.84 |          | BTF           |   9.28966 |  542 |  814.598
     143 | WLM                | 000158.1-152740 |          0.49206 |   -15.461111 |   24.96 |     0.07 | TRGB          |  0.981748 | -122 | -15.9233
 5056918 | And XVIII          | 000214.5+450520 |           0.5604 |    45.088888 |   25.58 |     0.05 | TRGB          |   1.30617 | -332 | -43.9172
 5067095 | PAndAS-03          | 000356.4+405319 |         0.985005 |    40.888611 | 24.4605 |          | mem           |      0.78 |      |         
 5067096 | PAndAS-04          | 000442.9+472142 |         1.178745 |    47.361667 | 24.4605 |          | mem           |      0.78 | -397 | -108.321
 5067097 | PAndAS-05          | 000524.1+435535 |          1.35042 |    43.926389 | 24.4605 |          | mem           |      0.78 | -183 |  103.058
     388 | ESO409-015         | 000531.8-280553 |          1.38249 |   -28.098055 |    29.7 |     0.11 | TRGB          |   8.70964 |  726 |  768.579
 5059815 | AGC748778          | 000634.4+153039 |       1.64333334 |  15.51083333 |   28.97 |     0.06 | TRGB          |     6.223 |  258 |  486.093
 5056920 | And XX             | 000730.7+350756 |         1.877895 |    35.132221 |   24.52 |     0.49 | TRGB          |  0.801678 | -456 | -181.807
     591 | UGC00064           | 000744.0+405232 |          1.93332 |    40.875554 | 29.9114 |          | TF            |       9.6 |  305 |  587.122
     621 | ESO349-031         | 000813.3-343442 |         2.055405 |   -34.578332 |   27.53 |     0.04 | TRGB          |   3.20627 |  221 |  229.601
         | dw0009-25          | 000937.8-250257 |           2.4075 | -25.04916667 |  29.317 |          | mem           |   7.30129 |      |         
     701 | NGC0024            | 000956.4-245748 |          2.48499 |   -24.963333 |   29.32 |     0.02 | TRGB          |   7.31139 |  550 |  606.087
         | dw0010-25          | 001038.2-252006 |       2.65916667 |      -25.335 |  29.317 |          | mem           |   7.30129 |      |         
     930 | NGC0045            | 001403.9-231056 |          3.51624 |   -23.182221 |   29.11 |     0.08 | TRGB          |   6.63743 |  465 |  527.806
 5072710 | PiscesA            | 001446.0+104847 |      3.691666665 |    10.813056 |   28.76 |    0.055 | TRGB          |   5.64937 |  236 |  444.159
    1014 | NGC0055            | 001508.5-391313 |         3.785415 |   -39.220277 |   26.62 |     0.03 | TRGB          |   2.10863 |  129 |  111.376
    1034 | NGC0059            | 001525.1-212638 |          3.85458 |   -21.443888 |   28.45 |     0.03 | TRGB          |   4.89779 |  361 |   431.25
    1038 | ESO410-005         | 001531.4-321048 |          3.88083 |   -32.179999 |   26.43 |     0.03 | TRGB          |   1.93197 |   36 |  53.1814
 6740711 | LV J0015-3825      | 001538.3-382541 |      3.909583335 | -38.42805556 |   29.32 |          | NAM           |   7.31139 |  606 |  591.881
 5056919 | And XIX            | 001932.1+350237 |          4.88373 |     35.04361 |   24.85 |     0.13 | TRGB          |  0.933254 | -111 |  157.408
    1305 | IC0010             | 002024.5+591730 |          5.10207 |    59.291666 |    24.5 |     0.12 | TRGB          |  0.794328 | -346 | -61.7975
 4668290 | JKB129             | 002041.4+083701 |         5.172495 |     8.616944 |  29.747 |          | TF            |    8.9002 |  692 |  889.001
 5057229 | And XXVI           | 002345.6+475458 |         5.939985 |    47.916111 |   24.41 |     0.12 | HB            |  0.762079 | -261 |  21.0158
 3097727 | Sc22               | 002351.7-244218 |          5.96541 |      -24.705 |   28.16 |     0.04 | TRGB          |   4.28548 |      |         
 3097691 | Cetus              | 002611.0-110240 |          6.54582 |   -11.044444 |   24.48 |      0.1 | TRGB          |  0.787046 |  -87 |  25.9618
    1641 | ESO294-010         | 002633.3-415120 |         6.638745 |   -41.855555 |   26.54 |     0.03 | TRGB          |   2.03236 |  107 |  70.8317
    1777 | UGC00288           | 002904.0+432554 |          7.26666 |    43.431666 |   29.17 |     0.05 | TRGB          |   6.82339 |  187 |  462.978
 5057228 | And XXV            | 003008.9+465107 |          7.53708 |    46.851944 |   24.55 |     0.12 | HB            |   0.81283 | -108 |  170.412
    1920 | ESO473-024         | 003122.5-224557 |          7.84374 |   -22.765833 | 29.9782 |          | TF            |       9.9 |  530 |  584.423
    2004 | NGC0147            | 003311.6+483028 |          8.29833 |    48.507777 |   24.39 |     0.11 | TRGB          |  0.755092 | -193 |  85.0953
 6656985 | ScuSR              | 003351.8-275024 |         8.465835 |       -27.84 |   28.01 |          | mem           |   3.99945 |      |         
    2121 | And III            | 003533.8+362952 |         8.890815 |    36.497777 |   24.37 |     0.07 | TRGB          |   0.74817 | -346 | -82.4785
 5065678 | Cas III            | 003559.4+513335 |         8.997495 |    51.559722 |   24.45 |     0.14 | TRGB          |  0.776247 | -372 | -93.0159
 5065056 | And XXX            | 003634.9+493848 |       9.14541666 |  49.64666667 | 24.1657 |     0.21 | TRGB          |  0.680989 | -141 |  135.984
 4608690 | And XVII           | 003707.0+441920 |          9.27915 |    44.322221 |   24.36 |     0.06 | HB            |  0.744732 | -251 |  21.7306
 5057230 | And XXVII          | 003727.1+452313 |         9.362895 |    45.386944 |   24.59 |     0.12 | HB            |  0.827942 | -535 | -261.066
    2329 | NGC0185            | 003858.0+482010 |          9.74166 |     48.33611 |   24.11 |     0.02 | TRGB          |  0.663743 | -203 |  72.5206
    2429 | NGC0205            | 004022.5+414111 |         10.09374 |    41.686388 |   24.52 |     0.02 | TRGB          |  0.801678 | -221 |  47.2323
    2544 | And IV             | 004232.3+403419 |      10.63458333 |  40.57186111 |   29.28 |      0.1 | TRGB          |   7.17795 |  237 |  502.697
    2555 | MESSIER032         | 004242.1+405159 |         10.67541 |    40.866388 |    24.5 |     0.01 | TRGB          |  0.794328 | -202 |   63.997
    2557 | MESSIER031         | 004244.5+411609 |        10.685415 |    41.269166 |   24.44 |      0.1 | Cep           |  0.772681 | -296 | -29.4806
    2578 | DDO226             | 004303.8-221501 |        10.765815 |   -22.250277 |   28.46 |     0.13 | TRGB          |   4.92039 |  359 |  409.004
    2666 | And I              | 004540.0+380214 |        11.416665 |    38.037221 | 24.3166 |          | TRGB          |      0.73 | -376 | -115.534
 5056923 | And XI             | 004620.0+334805 |        11.583315 |    33.801388 |   24.33 |     0.05 | RR            |  0.734514 | -419 | -167.039
         | DoIV               | 004703.0-214052 |        11.762505 |   -21.681111 |   27.84 |     0.02 | mem           |   3.69828 |      |         
         | DoII               | 004707.2-235721 |        11.779995 |   -23.955833 |    27.7 |     0.14 | TRGB          |   3.46737 |      |         
    2758 | NGC0247            | 004708.3-204536 |         11.78457 |       -20.76 |   27.85 |     0.02 | TRGB          |   3.71535 |  161 |  215.938
 5056924 | And XII            | 004727.0+342229 |        11.862495 |    34.374721 | 24.5954 | 0.127023 | TRGB          |  0.830004 | -556 | -303.156
    2789 | NGC0253            | 004734.3-251732 |          11.8929 |   -25.292221 |   27.84 |     0.02 | TRGB          |   3.69828 |  243 |  276.195
 5067869 | Scl-MM-Dw1         | 004734.9-262320 |         11.89542 |   -26.388889 |   27.98 |     0.32 | TRGB          |   3.94457 |      |         
    2881 | KDG002             | 004921.1-180428 |        12.337905 |   -18.074443 |   27.76 |     0.04 | TRGB          |   3.56451 |  224 |  289.608
    2902 | DDO006             | 004949.3-210058 |          12.4554 |   -21.016111 |   27.68 |     0.09 | TRGB          |   3.43558 |  292 |  343.878
 5478807 | Scl-MM-Dw2         | 005017.1-244459 |     12.571249995 | -24.74972222 |   27.74 |     0.07 | TRGB          |   3.53183 |      |         
    2933 | ESO540-032         | 005024.6-195425 |         12.60249 |   -19.906944 |    27.8 |     0.03 | TRGB          |   3.63078 |  228 |  284.573
         | Scl-MM-Dw5         | 005025.9-264328 |         12.60792 |   -26.724444 |   27.95 |     0.13 | TRGB          |   3.89045 |      |         
 2017209 | Bol520             | 005042.4+325459 |         12.67665 |    32.916388 |      24 |      0.2 | TRGB          |  0.630957 | -312 | -63.8822
 5056922 | And XIV            | 005135.0+294149 |         12.89583 |    29.696944 |  24.325 |    0.325 | TRGB          |  0.732825 | -481 | -240.368
 5056925 | And XIII           | 005151.0+330016 |         12.96249 |    33.004444 |   24.62 |     0.05 | RR            |   0.83946 | -195 |  52.6404
    3085 | SMC                | 005238.0-724801 |        13.158315 |   -72.800277 |   18.99 |     0.05 | Cep           | 0.0628058 |  158 | -22.2633
 4689222 | And IX             | 005252.8+431200 |         13.21998 |         43.2 |   24.48 |      0.2 | TRGB          |  0.787046 | -216 |  47.9305
         | Scl-MM-Dw4         | 005349.1-252828 |         13.45458 |   -25.474444 |   28.07 |     0.14 | TRGB          |    4.1115 |      |         
    3238 | NGC0300            | 005453.5-374057 |        13.722915 |   -37.682499 |    26.6 |     0.06 | TRGB          |    2.0893 |  146 |  115.733
 6740710 | LV J0055-2310      | 005501.0-231009 |      13.75416666 | -23.16916667 |  27.794 |      0.1 | TRGB          |   3.62076 |  250 |  288.178
 5065681 | PAndAS-48          | 005928.2+312910 |     14.867500005 |  31.48611111 |   24.57 |     0.11 | HB            |  0.820351 | -250 | -10.0831
 5056927 | And XVI            | 005929.8+322236 |         14.87415 |    32.376666 |    23.6 |      0.2 | TRGB          |  0.524808 | -385 | -143.164
    3589 | Sculptor           | 010009.4-334233 |        15.039165 |   -33.709166 | 19.7712 |          | TRGB          |      0.09 |  105 |  90.6271
 5067139 | PAndAS-50          | 010150.6+481819 |         15.46083 |    48.305278 | 24.4605 |          | mem           |      0.78 | -323 | -57.8999
    3792 | LGS 3              | 010355.0+215306 |         15.97917 |       21.885 |   24.08 |      0.4 | TRGB          |  0.654636 | -286 | -73.9507
    3844 | IC1613             | 010447.8+020760 |      16.19916666 |     2.133332 |   24.39 |     0.05 | TRGB          |  0.755092 | -232 | -88.7013
 5056921 | And X              | 010633.7+444816 |        16.640415 |    44.804444 |   24.01 |     0.07 | HB            |   0.63387 | -164 |   95.169
    3974 | UGC00685           | 010722.3+164102 |          16.8429 |    16.683888 |   28.41 |     0.02 | TRGB          |   4.80839 |  156 |   350.52
 2807102 | KKH5               | 010732.5+512625 |        16.885395 |    51.440277 |   28.67 |          | NAM           |   5.42001 |   61 |  326.029
 5067148 | PAndAS-C02         | 010753.9+482242 |        16.974585 |    48.378333 | 24.4605 |          | mem           |      0.78 |      |         
    4055 | AM0106-382         | 010822.0-381233 |         17.09166 |   -38.209166 | 29.5691 |          | TF            |       8.2 |  645 |  604.697
         | DoIII              | 010924.6-272050 |        17.352495 |   -27.347222 |   27.84 |     0.02 | mem           |   3.69828 |      |         
    4126 | NGC0404            | 010926.9+354303 |         17.36208 |    35.717499 |   27.37 |     0.02 | TRGB          |   2.97852 |  -50 |  192.748
 3097824 | And V              | 011017.1+473741 |         17.57124 |    47.628054 |   24.55 |     0.12 | TRGB          |   0.81283 | -403 | -142.657
 6758672 | DoI                | 011140.4+343603 |      17.91833334 |  34.60083333 |    27.6 |      0.2 | TRGB          |   3.31131 |      |         
 5056926 | And XV             | 011418.7+380703 |        18.577905 |    38.117499 |    24.4 |      0.2 | TRGB          |  0.758577 | -323 | -78.5825
    4601 | And II             | 011629.8+332509 |        19.124145 |    33.419166 |   24.07 |     0.06 | TRGB          |  0.651628 | -194 |   40.073
 5057227 | And XXIV           | 011830.0+462158 |        19.624995 |    46.366111 |   23.89 |     0.12 | HB            |  0.599791 | -128 |   126.91
 5072711 | PiscesB            | 011911.7+110718 |        19.798755 |    11.121667 |   29.75 |      0.2 | TRGB          |   8.91251 |  615 |  781.757
 5067142 | PAndAS-55          | 011920.4+460312 |        19.834995 |    46.053333 | 24.4605 |          | mem           |      0.78 |      |         
         | Triangulum III     | 012141.3+262332 |         20.42208 |    26.392222 |   24.57 |    0.453 | TRGB          |  0.820351 |      |         
 5067143 | PAndAS-56          | 012303.5+415511 |         20.76459 |    41.919722 | 24.4605 |          | mem           |      0.78 | -239 |   6.8881
 5057232 | And XXII           | 012740.0+280525 |        21.916665 |    28.090277 |    24.5 |          | TRGB          |  0.794328 | -127 |    86.72
 5067144 | PAndAS-57          | 012747.5+404047 |         21.94791 |    40.679722 | 24.4605 |          | mem           |      0.78 | -186 |  55.0593
