Name              | RAdeg     | DEdeg     | (m-M)0|   Dkpc |     Vh |  emVh |  epVh |
Tucana IV         |   0.73    | -60.85    | 18.41 |   47.9 |   15.9 |  -1.7 |  +1.8 |
SMC               |  13.1583  | -72.8002  | 18.99 |   62.8 |  158.0 |  -4.0 |  +4.0 |
Sculptor          |  15.03885 | -33.7090  | 19.67 |   85.9 |  111.4 |  -0.1 |  +0.1 | Vh (2009AJ....137.3109W)
Cetus II          |  19.47    | -17.42    | 17.1  |   26.3 |  Nan   |  Nan  |  Nan  |
Phoenix           |  27.7762  | -44.4447  | 23.06 |  409.3 |  -21.2 |  -1.0 |  +1.0 | Vh (2017MNRAS.466.2006K)
Cetus III         |  31.3308  |  -4.270   | 22.0  |  251.2 |  Nan   | Nan   | Nan   |
Triangulum II     |  33.3225  |  36.17844 | 17.4  |   30.2 | -381.7 |  -1.1 |  +1.1 |
Segue 2           |  34.816667|  20.17528 | 17.7  |   34.7 |  -39.2 |  -2.5 |  +2.5 |
Eridanus III      |  35.6896  | -52.2836  | 19.7  |   87.1 |  Nan   |  Nan  | Nan   |
DES J0225+0304    |  36.4267  |   3.0695  | 16.88 |   23.8 |  Nan   |  Nan  | Nan   |
Hydrus I          |  37.3892  | -79.3089  | 17.2  |   27.5 |   80.4 |  -0.6 |  +0.6 |
Fornax            |  39.9972  | -34.4492  | 20.84 |  147.2 |   55.2 |  -0.1 |  +0.1 | Vh (2009AJ....137.3109W)
Horologium I      |  43.8820  | -54.1188  | 19.5  |   79.4 |  112.8 |  -2.6 |  +2.5 |
Horologium II     |  49.13375 | -50.01806 | 19.46 |   78.0 |  168.7 | -12.6 | +12.9 |
Reticulum II      |  53.9256  | -54.0492  | 17.4  |   30.2 |   64.7 |  -0.8 |  +1.3 |
Eridanus II       |  56.0878  | -43.5332  | 22.9  |  380.2 |   75.6 |  -3.3 |  +3.3 |
Reticulum III     |  56.36    | -60.45    | 19.81 |   91.6 |  274.2 |  -7.4 |  +7.5 |
Pictor I          |  70.9475  | -50.283   | 20.3  |  114.8 |  Nan   | Nan   | Nan   |
LMC               |  80.89425 | -69.7561  | 18.5  |   50.1 |  278.0 |  -2.0 |  +2.0 |
Columba I         |  82.85696 | -28.0425  | 21.3  |  182.0 |  153.7 |  -4.8 |  +5.0 |
Carina            | 100.40295 | -50.9664  | 20.11 |  105.2 |  222.9 |  -0.1 |  +0.1 |
Pictor II         | 101.18    | -59.897   | 18.3  |   45.7 |  Nan   |  Nan  | Nan   |
Carina II         | 114.1067  | -57.9992  | 17.79 |   36.1 |  477.2 |  -1.2 |  +1.2 |
Carina III        | 114.6298  | -57.8997  | 17.22 |   27.8 |  284.6 |  -3.1 |  +3.4 |
Ursa Major II     | 132.8741  |  63.1342  | 17.5  |   31.6 | -116.5 |  -1.9 |  +1.9 |
