      name      |     l      |     b      |   Dist   |  Vh
----------------+------------+------------+----------+------
LMC             |280.5       |-32.9       |0.05      | 324
SMC             |302.8       |-44.3       |0.06      | 175
DRACO           | 86.4       | 34.7       |0.08      |-296
SCULPT          |287.8       |-83.2       |0.08      | 148
SEX-sph         |243.5       | 42.3       |0.09      | 230
URSA MIN        |105.0       | 44.8       |0.09      |-209
CARINA          |260.1       |-22.2       |0.11      | 240
FORNAX          |237.3       |-65.7       |0.16      |  53
LEO-2           |220.1       | 67.2       |0.22      |  70
LEO-1           |226.0       | 49.1       |0.27      | 285
PHOENIX         |272.2       |-69.0       |0.42      |  56
N 6822          | 25.3       |-18.4       |0.52      | -56
SAGITT          | 21.1       |-16.3       |0.57      | -78
LGS-3           |126.8       |-40.9       |0.58      |-281
N 185           |120.8       |-14.5       |0.62      |-251
IC 1613         |129.7       |-60.6       |0.66      |-231
N 147           |119.8       |-14.3       |0.76      |-163
N 221           |121.2       |-22.0       |0.76      |-203
M 31            |121.2       |-21.6       |0.77      |-300
M 33            |133.6       |-31.3       |0.84      |-180
N 205           |120.7       |-21.1       |0.85      |-233
WLM             | 75.7       |-73.6       |0.95      |-120
DD0 210         | 34.1       |-31.4       |1.00      |-137
IC 10           |119.0       | -3.3       |1.04      |-344
N 55            |332.9       |-75.7       |1.34      | 125
SEX A           |246.1       | 39.9       |1.41      | 323
SEX B           |233.2       | 43.8       |1.44      | 301
LEO A           |196.9       | 52.4       |1.47      |  20
IC 5152         |343.9       |-50.2       |1.50      | 121
N 3109          |262.1       | 23.1       |1.54      | 403
P 621           |351.5       |-78.1       |1.55      | 206
P 71431         | 11.9       |-70.8       |1.55      |  61
PEGASUS         | 94.8       |-43.6       |1.75      |-183
N 1569          |143.7       | 11.2       |1.84      | -89
UGCA86          |139.8       | 10.6       |1.86      |  67
IC 342          |138.2       | 10.6       |2.09      |  33
MAFFEI-1        |135.8       | -0.6       |2.10      |  15
N 300           |299.2       |-79.4       |2.15      | 141
N 247           |113.9       |-83.5       |2.20      | 159
N 253           | 97.4       |-88.0       |2.20      | 250
UGCA92          |144.7       | 10.5       |2.21      | -99
GR-8            |310.8       | 77.0       |2.24      | 213
MAFFEI-2        |136.5       | -0.3       |2.26      |  -2
BK3N            |142.3       | 40.8       |2.79      | -40
K 52            |143.8       | 33.0       |2.95      | 113
7 Zw 403        |127.8       | 37.3       |3.03      | -93
DDO 53          |149.3       | 35.0       |3.08      |  19
N 2403          |150.6       | 29.2       |3.18      | 130
N 4236          |127.4       | 47.4       |3.24      |   0
U 6572          |157.6       | 66.4       |3.25      | 230
U 8320          |110.8       | 70.7       |3.30      | 194
UGCA 105        |148.5       | 13.7       |3.31      | 111
Ho-9            |142.0       | 41.1       |3.41      |  46
N 2366          |146.4       | 28.5       |3.45      |  99
N 3077          |141.9       | 41.7       |3.49      |  13
M 82            |141.4       | 40.6       |3.58      | 202
Ho-2            |144.3       | 32.7       |3.60      | 157
N 4945          |305.3       | 13.3       |3.60      | 560
N 5102          |309.7       | 25.8       |3.60      | 467
N 5128          |309.5       | 19.4       |3.60      | 561
N 5206          |310.2       | 14.1       |3.60      | 577
N 5237          |311.9       | 19.2       |3.60      | 373
N 5408          |317.2       | 19.5       |3.60      | 508
P 47171         |310.2       | 20.9       |3.60      | 514
P 48738         |313.5       | 19.9       |3.60      | 540
M 81            |142.1       | 40.9       |3.63      | -35
U 4483          |145.0       | 34.4       |3.63      | 156
U 3755          |206.0       |  9.7       |3.65      | 317
U 8508          |111.1       | 61.3       |3.68      |  62
IC 2574         |140.2       | 43.6       |3.78      |  46
N 1560          |138.4       | 16.0       |3.84      | -36
N 5253          |314.9       | 30.1       |3.90      | 403
K 73            |136.9       | 44.2       |4.04      | 115
U 6541          |151.9       | 63.3       |4.08      | 246
N 5264          |315.7       | 31.7       |4.20      | 477
P 48029         |314.6       | 32.6       |4.20      | 570
P 48111         |315.1       | 33.7       |4.20      | 587
P 48368         |315.7       | 32.8       |4.20      | 579
DDO 187         | 25.6       | 70.5       |4.40      | 154
DDO 82          |137.9       | 42.2       |4.48      |  40
N 5236          |314.6       | 32.0       |4.50      | 515
U 9240          | 82.0       | 64.5       |4.53      | 152
N 2976          |143.9       | 40.9       |4.57      |   3
U 2905          |174.3       |-27.3       |4.66      | 292
DDO 165         |120.8       | 49.4       |4.88      |  36
N 5204          |113.5       | 58.0       |4.92      | 203
IC 4182         |107.7       | 79.1       |4.95      | 320
N 4736          |123.3       | 76.0       |4.95      | 309
U 7866          |132.1       | 78.5       |4.95      | 358
U 7949          |128.4       | 80.6       |4.95      | 333
N 3738          |144.6       | 59.3       |5.16      | 228
N 4605          |125.3       | 55.5       |5.18      | 143
N 5238          |107.4       | 64.2       |5.18      | 232
N 5585          |101.0       | 56.5       |5.70      | 305
U 3860          |177.8       | 23.9       |5.86      | 353
U 8837          |103.7       | 60.8       |6.58      | 144
Ho-1            |140.7       | 38.7       |6.66      | 136
M 101           |102.0       | 59.8       |6.88      | 241
N 5474          |100.8       | 60.2       |7.18      | 277
U 9405          | 98.7       | 54.7       |7.62      | 222
U 288           |118.6       |-19.3       |7.69      | 187
N 5477          |101.6       | 59.5       |7.73      | 304
N 3274          |203.8       | 59.2       |8.00      | 537
