Fornax              1 480.07 37.5  1.   147  707 -13.46 16.52
Sculptor            1 415.08 37.5  1.    84  223 -10.82  5.87
Reticulum II        1  54.56 37.5  1.    30   31  -3.88  1.17
Eridanus II         0  36.17 27.41 1.   380  158  -7.21  1.1
Tucana II           1  23.85 12.88 0.91  58  165  -3.8   1.87
Grus II             1  21.82 13.29 0.97  53   92  -3.9   2.03
Horologium I        1  21.78 20.68 0.99  79   31  -3.55  1.24
Tucana III          1  18.6  12.72 0.91  25   44  -2.4   1.62
Tucana IV           1  16.03 10.88 0.91  48  128  -3.5   1.6
Phoenix II          1  13.36 12.18 0.98  83   21  -3.3   1.35
Horologium II       1  11.62 11.21 0.87  78   33  -2.6   1.07
Tucana V            1  11.27  9.97 0.89  55   16  -1.6   1.78
Pictor I            1  10.91  8.55 0.97 114   18  -3.45  1.5
Columba I           1  10.67  9.46 0.33 183   98  -4.2   2.09
Cetus II            1  10.47  7.18 0.62  30   17   0.    0.79
Grus I              1   9.78  8.8  0.97 120   21  -3.47  1.57
Kim 2               0   8.17  9.31 0.93 100   12  -3.32  3.13
Reticulum III       1   8.12  7.46 0.92  92   64  -3.3   1.46
Cetus III           0   3.96  3.68 0.01 251   44  -2.5   0.89
Indus II            0   3.86  3.65 0.01 214  180  -4.3   4.02
DES J0225+0304      0              0.94  24   12  -1.1   0.98
