Table 1 
All Milky Way Dwarf Galaxies and Candidates that Are Considered in This Paper, along with Relevant Positional, Structural, Radial Velocity, and Metallicity Parameters


Galaxy	R.A. (deg)	Decl. (deg)	${(m-M)}_{0}$	r_h (arcmin)	$e=1-b/a$	thetadeg	v_h (km s^-1)	sigma_v (km s^-1)	$\langle [\mathrm{Fe}/{\rm{H}}]\rangle $	
Antlia2	143.8867	-36.7672	${20.6}_{-0.11}^{+0.11}$	${76.2}_{-7.2}^{+7.2}$	${0.38}_{-0.08}^{+0.08}$	${156.0}_{-6.0}^{+6.0}$	${290.7}_{-0.5}^{+0.5}$	${5.71}_{-1.08}^{+1.08}$	$-{1.36}_{-0.04}^{+0.04}$	
Aquarius2	338.4812	-9.3275	${20.16}_{-0.07}^{+0.07}$	${5.1}_{-0.8}^{+0.8}$	${0.39}_{-0.09}^{+0.09}$	${121.0}_{-9.0}^{+9.0}$	$-{71.1}_{-2.5}^{+2.5}$	${5.4}_{-0.9}^{+3.4}$	$-{2.3}_{-0.5}^{+0.5}$	
Bootes1	210.025	14.5	${19.11}_{-0.08}^{+0.08}$	${11.26}_{-0.27}^{+0.27}$	${0.25}_{-0.02}^{+0.02}$	${7.0}_{-3.0}^{+3.0}$	${99.0}_{-2.1}^{+2.1}$	${2.4}_{-0.5}^{+0.9}$	$-{2.55}_{-0.11}^{+0.11}$	
Bootes2	209.5	12.85	${18.1}_{-0.06}^{+0.06}$	${3.05}_{-0.45}^{+0.45}$	${0.24}_{-0.12}^{+0.12}$	$-{70.0}_{-27.0}^{+27.0}$	$-{117.0}_{-5.2}^{+5.2}$	${10.5}_{-7.4}^{+7.4}$	$-{1.79}_{-0.05}^{+0.05}$	
Bootes4	233.6892	43.7261	${21.6}_{-0.2}^{+0.2}$	${7.6}_{-0.8}^{+0.8}$	${0.64}_{-0.05}^{+0.05}$	${3.0}_{-4.0}^{+4.0}$	cdots	cdots	cdots	
CanesVenatici1	202.0146	33.5558	${21.69}_{-0.1}^{+0.1}$	${8.9}_{-0.4}^{+0.4}$	${0.39}_{-0.03}^{+0.03}$	${70.0}_{-4.0}^{+4.0}$	${30.9}_{-0.6}^{+0.6}$	${7.6}_{-0.4}^{+0.4}$	$-{1.98}_{-0.01}^{+0.01}$	
CanesVenatici2	194.2917	34.3208	${21.02}_{-0.06}^{+0.06}$	${1.51}_{-0.23}^{+0.23}$	${0.46}_{-0.11}^{+0.11}$	${10.0}_{-11.0}^{+11.0}$	$-{128.9}_{-1.2}^{+1.2}$	${4.6}_{-1.0}^{+1.0}$	$-{2.21}_{-0.05}^{+0.05}$	
Carina	100.4029	-50.9661	${20.11}_{-0.13}^{+0.13}$	${11.43}_{-0.12}^{+0.12}$	${0.37}_{-0.01}^{+0.01}$	${60.0}_{-1.0}^{+1.0}$	${222.9}_{-0.1}^{+0.1}$	${6.6}_{-1.2}^{+1.2}$	$-{1.72}_{-0.01}^{+0.01}$	
Carina2	114.1067	-57.9992	${17.79}_{-0.05}^{+0.05}$	${8.69}_{-0.75}^{+0.75}$	${0.34}_{-0.07}^{+0.07}$	${170.0}_{-9.0}^{+9.0}$	${477.2}_{-1.2}^{+1.2}$	${3.4}_{-0.8}^{+1.2}$	$-{2.44}_{-0.09}^{+0.09}$	
Carina3	114.63	-57.8997	${17.22}_{-0.1}^{+0.1}$	${3.75}_{-1.0}^{+1.0}$	${0.55}_{-0.18}^{+0.18}$	${150.0}_{-14.0}^{+14.0}$	${284.6}_{-3.1}^{+3.4}$	${5.6}_{-2.1}^{+4.3}$	$-{1.8}_{-0.2}^{+0.2}$	
Centaurus1	189.585	-40.902	${20.33}_{-0.1}^{+0.1}$	${2.88}_{-0.4}^{+0.5}$	${0.4}_{-0.1}^{+0.1}$	${20.0}_{-11.0}^{+11.0}$	cdots	cdots	$-{1.8}_{-999.0}^{+999.0}$	
Cetus2	19.47	-17.42	${17.1}_{-0.1}^{+0.1}$	${1.9}_{-0.5}^{+1.0}$	cdots	cdots	cdots	cdots	$-{1.28}_{-0.07}^{+0.07}$	
Cetus3	31.3308	-4.27	${22.0}_{-0.1}^{+0.2}$	${1.23}_{-0.19}^{+0.42}$	${0.76}_{-0.08}^{+0.06}$	${101.0}_{-6.0}^{+5.0}$	cdots	cdots	cdots	
Columba1	82.86	-28.03	${21.3}_{-0.22}^{+0.22}$	${1.9}_{-0.4}^{+0.5}$	cdots	cdots	${153.7}_{-4.8}^{+5.0}$	cdots	cdots	
